"","X","RespondentID","Year","Age","Region","Educ.Level","Educ.Years","Educ.Attained","Marital","Husb.Educ.Level","Husb.Educ.Years","Husb.Employment","Employment","Husb.Educ.Attained","Husb.Age","Emotional.IPV","Less.Physic.IPV","More.Physic.IPV","Sexual.IPV","Husb.Employment.Bin","Employment.Bin","LPG","Physical.IPV","ANY.IPV","Counts.IPV","Male","Female"
"1508",11021,11602,2017,33,2,2,11,4,1,2,11,9213,9213,3,41,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1509",11022,11603,2017,32,2,1,5,1,1,1,3,9213,0,1,32,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1510",11023,11604,2017,22,2,3,14,5,2,3,15,4110,5211,5,22,1,0,0,1,1,1,"Both employed",0,1,2,1,1
"1511",11024,11605,2017,40,2,3,15,5,1,3,15,8350,5153,5,37,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1512",11025,11606,2017,35,2,3,12,5,2,2,9,1324,1324,3,25,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1513",11026,11608,2017,23,2,2,11,4,1,3,14,7231,9520,5,30,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1514",11028,11610,2017,33,2,1,4,1,2,2,9,5212,0,3,36,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1515",11029,11611,2017,36,2,2,11,4,1,2,11,9312,0,3,36,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1516",11030,11612,2017,22,2,2,10,3,2,2,10,6111,0,3,32,1,1,0,0,1,0,"Male only Employed",1,1,2,1,0
"1517",11031,11613,2017,26,2,3,15,5,1,3,13,3323,5230,5,31,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1518",11032,11614,2017,29,2,3,15,5,1,2,11,6111,2330,3,36,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1519",11033,11615,2017,19,2,2,11,4,1,2,11,9211,5221,3,24,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1520",11034,11616,2017,22,2,3,14,5,1,2,11,5211,5211,3,20,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1521",11037,11619,2017,28,2,2,9,3,2,2,11,9312,0,3,36,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1522",11038,11620,2017,25,2,2,11,4,1,3,12,8322,5212,5,39,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1523",11039,11621,2017,27,2,2,8,3,1,1,3,9213,0,1,37,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1524",11040,11622,2017,28,2,1,1,1,2,1,3,9211,9211,1,37,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1525",11041,11623,2017,28,2,3,13,5,2,3,15,2330,0,5,42,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1526",11042,11624,2017,32,2,2,11,4,1,1,3,8322,9520,1,35,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1527",11043,11625,2017,36,2,2,8,3,2,3,13,9329,0,5,38,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1528",11044,11626,2017,27,2,2,11,4,1,2,11,9312,0,3,28,0,0,1,1,1,0,"Male only Employed",1,1,2,1,0
"1529",11045,11627,2017,28,2,2,11,4,1,1,7,9211,0,1,32,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1530",11046,11628,2017,37,2,2,11,4,1,2,11,9312,0,3,35,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1531",11047,11629,2017,35,2,3,13,5,1,3,15,6112,0,5,45,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1532",11048,11630,2017,32,2,2,11,4,1,2,10,9211,0,3,34,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1533",11049,11631,2017,32,2,2,10,3,2,1,3,8322,5211,1,29,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1534",11050,11632,2017,34,2,2,11,4,1,2,11,9213,0,3,33,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1535",11051,11633,2017,33,2,1,5,1,1,2,9,7131,0,3,31,1,0,0,0,1,0,"Male only Employed",0,1,1,1,0
"1536",11052,11634,2017,35,2,3,15,5,1,3,15,210,2411,5,36,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1537",11053,11635,2017,34,2,2,11,4,1,2,11,8321,0,3,35,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1538",11054,11636,2017,21,2,2,11,4,1,1,7,9213,3343,1,23,0,0,0,0,1,1,"Both employed",0,0,0,1,1
