"","CASEID","V000","V001","V002","V003","V004","V005","V006","V007","V008","V008A","V009","V010","V011","V012","V013","V024","V101","V106","V107","V149","V190","V191","V190A","V191A","V501","V502","V503","V504","V505","V506","V701","V702","V704","V704A","V705","V714","V714A","V715","V716","V717","V719","V721","V729","V730","V731","V732","V739","V740","V741","V743A","V743B","V743C","V743D","V743E","V743F","V744A","V744B","V744C","V744D","V744E","V745A","V745B","V745C","V745D","V746","D005","D101A","D101B","D101C","D101D","D101E","D101F","D101G","D101H","D101I","D101J","D102","D103A","D103B","D103C","D103D","D103E","D103F","D103G","D104","D105A","D105B","D105C","D105D","D105E","D105F","D105G","D105H","D105I","D105J","D105K","D105L","D105M","D105N","D106","D107","D108","D109","D110A","D110B","D110C","D110D","D110E","D110F","D110G","D110H","D111","D112","D112A","D113","D114"
"4576","    11070013  2","PH7",1107,13,2,1107,844710,8,2017,1412,42978,5,1987,1049,30,4,10,10,2,11,4,2,-13344,3,11911,1,1,1,1,1,NA,2,9,8321,1,8,0,0,9,0,0,NA,NA,3,37,0,NA,NA,NA,NA,4,4,NA,4,NA,4,0,0,0,0,0,0,0,NA,NA,NA,639757,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4577","    11070015  2","PH7",1107,15,2,1107,844710,9,2017,1413,42979,3,1996,1155,21,2,10,10,2,11,4,2,-59675,2,-37882,2,1,1,1,1,NA,2,11,0,0,0,1,NA,11,5221,7,2,NA,3,22,2,1,4,NA,1,4,4,NA,4,NA,4,0,0,0,0,0,0,0,NA,NA,2,639757,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4578","    11070018  2","PH7",1107,18,2,1107,844710,9,2017,1413,42979,7,1999,1195,18,1,10,10,2,10,3,1,-116211,1,-98642,2,1,1,1,1,NA,2,11,9211,1,4,0,0,11,0,0,NA,NA,3,22,0,NA,NA,NA,NA,1,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,639757,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4579","    11070021  4","PH7",1107,21,4,1107,844710,9,2017,1413,42979,5,1991,1097,26,3,10,10,3,13,5,2,-15084,3,10042,2,1,1,1,1,NA,2,11,9321,1,9,0,0,11,0,0,NA,NA,3,21,0,NA,NA,NA,NA,4,4,NA,4,NA,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4580","    11070022  4","PH7",1107,22,4,1107,844710,9,2017,1413,42979,11,1994,1139,22,2,10,10,2,11,4,2,-17454,3,7494,2,1,1,1,1,NA,2,11,7212,1,8,1,NA,11,5230,7,2,NA,3,23,2,2,4,NA,1,4,4,NA,4,NA,4,0,0,0,0,0,0,0,NA,NA,3,1255219,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4581","    11080002  2","PH7",1108,2,2,1108,833019,9,2017,1413,42985,3,1992,1107,25,3,10,10,2,11,4,2,-31448,3,-7545,1,1,1,1,1,NA,2,11,9329,1,9,1,NA,11,5230,7,2,NA,3,35,2,1,4,NA,1,4,4,NA,4,NA,4,0,0,0,0,0,2,0,NA,NA,2,630902,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4582","    11080005  4","PH7",1108,5,4,1108,833019,9,2017,1413,42984,8,1992,1112,25,3,10,10,2,11,4,2,-38035,3,-14625,1,1,1,1,1,NA,2,11,9312,1,9,1,NA,11,5212,3,3,NA,3,22,2,1,NA,NA,0,1,4,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,630902,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"4584","    11080013  2","PH7",1108,13,2,1108,833019,9,2017,1413,42984,8,1985,1028,32,4,10,10,2,11,4,2,-60148,2,-38390,1,1,1,1,1,NA,2,11,9212,1,4,1,NA,11,9212,4,1,NA,3,31,2,1,4,NA,1,4,4,NA,4,NA,4,0,0,0,0,0,2,2,NA,NA,3,630902,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4585","    11090003  2","PH7",1109,3,2,1109,970394,9,2017,1413,42989,9,1991,1101,26,3,10,10,3,15,5,4,77668,4,109724,2,1,1,1,1,NA,3,13,1420,1,1,1,NA,13,5211,3,3,NA,5,40,2,1,NA,NA,0,1,2,NA,2,NA,2,0,0,0,0,0,2,0,NA,NA,NA,734945,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4586","    11090022  2","PH7",1109,22,2,1109,970394,9,2017,1413,42990,5,1981,977,36,5,10,10,3,12,5,2,-24143,3,305,2,1,1,1,1,NA,3,13,1412,1,1,0,0,13,0,0,NA,NA,5,28,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,734945,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4587","    11100001  2","PH7",1110,1,2,1110,561192,9,2017,1413,42999,10,1974,898,42,6,10,10,2,10,3,1,-93769,2,-74523,2,1,1,1,1,NA,1,4,9213,1,4,0,0,4,0,0,NA,NA,1,31,0,NA,NA,NA,NA,1,1,NA,1,NA,1,0,0,0,0,0,2,0,NA,NA,NA,425029,1,1,0,0,1,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"4588","    11100008  2","PH7",1110,8,2,1110,561192,9,2017,1413,42999,6,1974,894,43,6,10,10,2,10,3,1,-133024,1,-116712,1,1,2,1,1,NA,1,7,9312,1,9,0,0,7,0,0,NA,NA,1,36,0,NA,NA,NA,NA,4,4,NA,4,NA,4,0,0,0,0,0,3,0,NA,NA,NA,425029,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4589","    11100011  7","PH7",1110,11,7,1110,561192,9,2017,1413,42999,11,1987,1055,29,3,10,10,2,11,4,2,-42519,2,-19443,1,1,1,1,1,NA,2,11,5211,1,3,0,0,11,0,0,NA,NA,3,36,0,NA,NA,NA,NA,4,4,NA,4,NA,4,0,0,0,0,0,0,0,NA,NA,NA,425029,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
