"","CASEID","V000","V001","V002","V003","V004","V005","V006","V007","V008","V008A","V009","V010","V011","V012","V013","V024","V101","V106","V107","V149","V190","V191","V190A","V191A","V501","V502","V503","V504","V505","V506","V701","V702","V704","V704A","V705","V714","V714A","V715","V716","V717","V719","V721","V729","V730","V731","V732","V739","V740","V741","V743A","V743B","V743C","V743D","V743E","V743F","V744A","V744B","V744C","V744D","V744E","V745A","V745B","V745C","V745D","V746","D005","D101A","D101B","D101C","D101D","D101E","D101F","D101G","D101H","D101I","D101J","D102","D103A","D103B","D103C","D103D","D103E","D103F","D103G","D104","D105A","D105B","D105C","D105D","D105E","D105F","D105G","D105H","D105I","D105J","D105K","D105L","D105M","D105N","D106","D107","D108","D109","D110A","D110B","D110C","D110D","D110E","D110F","D110G","D110H","D111","D112","D112A","D113","D114"
"750","    01130026  1","PH7",113,26,1,113,666176,9,2017,1413,42993,9,1977,933,40,6,14,14,3,15,5,3,18886,2,-33039,5,2,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2359,1,1,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1077177,1,1,0,0,0,NA,NA,NA,NA,NA,2,3,0,2,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2
"751","    01140001  1","PH7",114,1,1,114,406003,9,2017,1413,42983,2,1989,1070,28,3,14,14,3,15,5,4,97246,5,130765,2,1,1,1,1,NA,3,13,9312,1,9,0,0,13,0,0,NA,NA,5,30,0,NA,NA,NA,NA,2,2,NA,2,NA,7,0,0,0,0,0,1,0,NA,NA,NA,315314,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"753","    01140012  2","PH7",114,12,2,114,406003,9,2017,1413,42983,5,1992,1109,25,3,14,14,3,15,5,3,6243,3,32962,2,1,1,1,1,NA,1,7,9312,1,9,0,0,7,0,0,NA,NA,1,28,0,NA,NA,NA,NA,1,1,NA,1,NA,1,0,0,0,0,0,3,0,NA,NA,NA,315314,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"755","    01140016  2","PH7",114,16,2,114,406003,9,2017,1413,42984,3,1988,1059,29,3,14,14,2,11,4,3,41173,4,70502,1,1,1,1,1,NA,2,11,9312,1,9,0,0,11,0,0,NA,NA,3,30,0,NA,NA,NA,NA,2,1,NA,1,NA,2,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","    01140018  2","PH7",114,18,2,114,406003,9,2017,1413,42984,2,1982,986,35,5,14,14,3,15,5,5,126323,5,162015,1,1,1,1,1,NA,1,1,9999,1,99,1,NA,1,2341,1,1,NA,1,40,2,1,4,NA,1,4,2,NA,2,NA,4,0,0,0,0,0,0,0,NA,NA,8,315314,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"757","    01150009  2","PH7",115,9,2,115,704291,8,2017,1412,42970,3,1991,1095,26,3,14,14,2,9,3,3,14984,2,-37179,1,1,1,1,1,NA,2,11,7513,1,8,0,0,11,0,0,NA,NA,3,27,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","    01160001  2","PH7",116,1,2,116,209178,8,2017,1412,42975,12,1986,1044,30,4,14,14,1,7,2,2,-51037,2,-28598,1,1,1,1,1,NA,2,9,6111,1,4,1,NA,9,9214,4,1,NA,3,48,2,3,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,3,0,NA,NA,NA,155477,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,NA,0,0,0,0,NA,NA,NA,1,0,0,2,1,0,NA,0,0,0,0,NA,1,0,NA,1,2
"759","    01160002  2","PH7",116,2,2,116,209178,8,2017,1412,42976,7,1980,967,37,5,14,14,1,7,2,1,-148699,1,-133558,1,1,1,1,1,NA,2,10,9312,1,9,0,0,10,9214,4,1,NA,3,45,1,1,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,3,0,NA,NA,NA,155477,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,NA,0,0,0,0,NA,NA,NA,1,1,0,2,1,0,NA,0,0,0,0,NA,1,0,NA,1,2
"760","    01160009  2","PH7",116,9,2,116,209178,8,2017,1412,42971,6,1991,1098,26,3,14,14,1,6,1,1,-124232,1,-107263,1,1,2,1,1,NA,1,4,6213,1,4,0,0,4,0,0,NA,NA,1,67,0,NA,NA,NA,NA,2,2,NA,2,NA,4,0,0,0,0,0,3,0,NA,NA,NA,155477,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"761","    01160021  2","PH7",116,21,2,116,209178,8,2017,1412,42976,11,1990,1091,26,3,14,14,2,11,4,3,31551,4,60161,1,1,1,1,1,NA,2,11,9312,1,9,0,0,11,9999,99,1,NA,3,37,1,1,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,3,0,NA,NA,NA,155477,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
